university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
Texas A&M University,49,NA,6621,40087,NA,151-200,151-200,public,NA,NA,NA,NA,NA,XL,21,Very High,0,21.4,16.6,55.1,18.7,0,55568,NA,College Station,TX,2268,112141
University of California - Davis,10,0.16,8414,NA,NA,51-100,101-150,public,NA,National,NA,NA,NA,XL,10,Very High,0,25.3,30.5,59.3,23.6,0,NA,39074,Davis,CA,6887,68111
University of California - Berkeley,10,0.13,9428,NA,NA,1-20,21-50,public,NA,National,NA,NA,NA,XL,11,Very High,78.4,61.3,67.8,65.1,58.2,65.6,NA,42327,Berkeley,CA,11580,121240
University of Maryland - College Park,NA,NA,5662,NA,NA,51-100,151-200,public,NA,NA,NA,NA,NA,XL,10,Very High,19.7,25.3,33.5,55.3,29.3,19,NA,40709,College Park,MD,"6,191",35110
Indiana University - Bloomington,23,0.05,5175,38354,very competitive plus,101-150,301-400,public,NA,National,NA,NA,NA,XL,11,Very High,21.3,13.5,18.6,40.3,19.4,10.2,32986,NA,Bloomington,IN,3647,84465
Pennsylvania State University - University Park,NA,NA,8267,NA,NA,51-100,51-100,public,NA,NA,NA,NA,NA,XL,11,Very High,0,34.5,28.7,55.1,24.6,10.2,NA,NA,University Park,PA,15306,12764
University of California - Los Angeles,469,0.1,10273,NA,NA,1-20,21-50,public,NA,National,NA,NA,NA,XL,10,Very High,46.4,55.9,44.9,73.1,32.1,29.2,NA,44589,Los Angeles,CA,8484,3976322
University of California - San Diego,NA,0.16,10824,NA,NA,1-20,21-50,public,NA,National,NA,NA,NA,XL,8,Very High,35.1,53.3,53,65.4,35.9,19,NA,39576,La Jolla,CA,3500,46781
University of North Carolina at Chapel Hill,21,0.05,2749,NA,most competitive,21-50,51-100,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,7,Very High,23.4,45.9,30.2,64.7,34.4,8.8,NA,30092,Chapel Hill,NC,2805,59246
University of Pittsburgh,55,NA,2590,NA,NA,NA,151-200,public,NA,NA,NA,NA,NA,L,6,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Pittsburgh,PA,5461,300431
Rutgers University - New Brunswick,5,NA,7965,NA,NA,NA,201-300,public,NA,NA,NA,NA,NA,XL,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,New Brunswick,NJ,10881,56910
University of Minnesota - Twin Cities,54,0.06,6396,NA,NA,21-50,151-200,public,NA,National,NA,NA,NA,XL,11,Very High,16.1,34.5,31.2,67.5,23.7,29.2,NA,52017,Minneapolis,MN,7664,413651
University of Wisconsin - Madison,77,0.1,7139,38608,highly competitive plus,21-50,51-100,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,8,Very High,34.3,30.3,32.3,65,24.3,32.5,33585,NA,Madison,WI,3289,252551
The University of Arizona,227,NA,3526,NA,NA,NA,201-300,public,NA,NA,NA,NA,NA,XL,6,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Tucson,AZ,2299,543242
University of Florida,61,NA,5919,28658,highly competitive,51-100,151-200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,7,Very High,0,28.7,18.9,63.6,24.8,16.8,34931,53372,Gainesville,FL,2147,131591
The Ohio State University,217,0.07,7029,NA,NA,NA,101-150,public,NA,National,NA,NA,NA,XL,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Columbus,OH,3960,860090
University of Michigan - Ann Arbor,28,0.08,8252,53232,highly competitive plus,21-50,21-50,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,6,Very High,0,41.8,41,80.8,25,34.1,31329,NA,Ann Arbor,MI,4340,120782
Arkansas State University,NA,0.05,NA,16070,NA,NA,NA,public,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,8486,NA,Jonesboro,AK,980,79324
Bellevue College,32,NA,758,NA,NA,NA,NA,public,Four-year (median),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bellevue,WA,4423,141400
Bergen Community College,NA,NA,357,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paramus,NJ,2563,26416
Broward College,35,NA,540,NA,NA,NA,NA,public,Four-year (large),NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33243,Fort Lauderdale,FL,5141,178752
Bunker Hill Community College,48,NA,603,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boston,MA,13943,673184
Central Piedmont Community College,298,NA,363,NA,NA,NA,NA,public,Two-year,NA,Associate's Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charlotte,NC,2829,842051
