university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Medical University of South Carolina,NA,301-400,301,96-117,7.3,9.6,0,0,31.7,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charleston,SC,27,9,1,6,12
University of Utah,NA,101-150,101,47-58,24.6,19.2,0,11.4,51.6,28.3,102,31389,24643,Salt Lake City,UT,0.06,National,NA,NA,NA,L,Public,Salt Lake City,30.9,358,Very High,3.3449999999999998,8,2.134,NA,NA,UT,Public,4-year,33081,Salt Lake City,UT,15,16,1,5,12
University of Delaware,NA,201-300,201,70-95,10.4,9.6,10.2,16.1,33.3,19,96,36880,18420,Newark,DE,0.05,National,NA,NA,NA,L,Public,Newark,NA,531-540,Very High,1.272,17,2.3369999999999997,DE,4,NA,NA,NA,NA,Newark,DE,15,16,1,4,21
University of Houston,NA,201-300,201,70-95,12,13.5,0,0,40.1,21.5,183,27110,39165,NA,NA,NA,NA,NA,NA,NA,XL,Public,Houston,NA,701-750,Very High,1.702,22,3.049,NA,NA,TX,Public,4-year,47090,Houston,TX,15,15,1,4,11
University of Central Florida,NA,301-400,301,96-117,10.5,9.6,0,0,33,18,159,22467,61456,NA,NA,NA,NA,NA,NA,NA,XL,Public,Orlando,NA,751-800,Very High,2.146,25,2.562,FL,4,FL,Public,4-year,71881,Orlando,FL,15,15,1,4,21
West Virginia University,NA,401-500,401,118-139,8,9.6,0,0,31.5,11.9,262,25320,21086,NA,NA,NA,NA,NA,NA,NA,L,Public,Morgantown,NA,801-1000,Very High,1605,15,1807,NA,NA,NA,NA,NA,NA,Morgantown,WV,15,16,1,4,13
Harvard University,100,1,1,1,100,100,100,100,100,79.6,3,55587,5222,Cambridge,MA,0.12,National,Cambridge,MA,5562,L,Private,Cambridge,98,5,Very High,4646,5,5877,MA,1,MA,PrivNp,4-year,30391,Cambridge,MA,15,17,2,6,12
University of Maine,NA,401-500,401,118-139,6.7,0,0,17,18.3,19.3,223,33586,9465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orono,ME,15,13,1,4,23
Rockefeller University,37.9,30,30,22,42.4,33.2,16.8,61.4,19.5,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,27,18,2,7,11
Boston University,27.9,70,70,34,24.3,30.3,11.4,11.4,53.1,23.8,42,59816,16872,Boston,MA,0.22,National,Boston,MA,10646,L,Private,Boston,57,112,Very High,2642,10,8159,MA,2,MA,PrivNp,4-year,32718,Boston,MA,15,17,2,5,11
Vanderbilt University,32.8,50,50,31,23,30.3,15.2,28.6,53.4,35.3,15,56966,7057,Nashville,TN,0.1,National,NA,NA,NA,L,Private,Nashville,41.7,218,Very High,4473,3,2022,TN,1,NA,NA,NA,NA,Nashville,TN,15,17,2,5,11
Icahn School of Medicine at Mount Sinai,NA,101-150,101,47-58,25.8,40.6,0,0,41.2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New York,NY,27,18,2,7,11
Florida International University,NA,401-500,401,118-139,6.6,9.6,0,0,32.1,17.3,163,18964,48664,Miami,FL,0.07,National,NA,NA,NA,XL,Public,Miami,NA,801-1000,High,2.221,16,3.5749999999999997,NA,NA,FL,Public,4-year,58836,Miami,FL,15,15,1,4,21
Yale University,50.7,12,12,10,53.4,44.9,47.1,49.7,58.7,35.7,5,59950,4703,New Haven,CT,0.1,National,NA,NA,NA,M,Private,New Haven,90.2,14,Very High,5391,2,2537,CT,1,NA,NA,NA,NA,New Haven,CT,15,17,2,6,12
University of North Carolina at Chapel Hill,37.9,30,30,22,30.2,45.9,8.8,23.4,64.7,34.4,NA,NA,NA,Chapel Hill,NC,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,1,NC,Public,4-year,30092,Chapel Hill,NC,15,17,1,5,13
Texas Tech University,NA,401-500,401,118-139,7,9.6,0,0,34.4,16.4,220,24092,33269,NA,NA,NA,NA,NA,NA,NA,XL,Public,Lubbock,NA,801-1000,High,1.772,19,2.1959999999999997,NA,NA,TX,Public,4-year,40322,Lubbock,TX,15,15,1,4,11
Massachusetts Institute of Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,55878,4361,Cambridge,MA,0.1,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,NA,NA,NA,NA,Cambridge,MA,15,17,2,6,12
Wake Forest University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,59770,5441,Winston-Salem,NC,0.09,National,NA,NA,NA,M,Private,Winston-Salem,26.9,429,Very High,2.276,4,805,NC,1,NA,NA,NA,NA,Winston-Salem,NC,16,14,2,5,12
William & Mary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,46467,6236,Williamsburg,VA,0.05,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Williamsburg,VA,16,14,1,4,23
University of Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,31120,29765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GA,3,GA,Public,4-year,39147,Athens,GA,15,16,1,4,12
