university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Oglethorpe University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atlanta,GA,0.1,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atlanta,GA,21,11,2,2,21
St. Olaf College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northfield,MN,0.1,Liberal Arts,Northfield,MN,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union College (NY),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Schenectady,NY,0.1,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitman College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Walla Walla,WA,0.1,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WA,1,NA,NA,NA,NA,Walla Walla,WA,21,11,2,2,13
Bates College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lewiston,ME,0.09,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ME,1,NA,NA,NA,NA,Lewiston,ME,21,11,2,2,13
Colby College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waterville,ME,0.09,Liberal Arts,Waterville,ME,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,ME,1,NA,NA,NA,NA,Waterville,ME,21,11,2,2,33
Colgate University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hamilton,NY,0.09,Liberal Arts,Hamilton,NY,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,NA,NA,NA,NA,Hamilton,NY,21,14,2,3,32
Connecticut College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New London,CT,0.09,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CT,1,NA,NA,NA,NA,New London,CT,21,11,2,2,13
Harvey Mudd College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,0.09,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,1,NA,NA,NA,NA,Claremont,CA,21,8,2,2,21
Hollins University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roanoke,VA,0.09,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roanoke,VA,21,8,2,3,22
