university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
Florida National University,Hialeah,FL,11020,236387,21,NA,635,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hobart and William Smith Colleges,Geneva,NY,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holy Cross College at Notre Dame, Indiana",Notre Dame,IN,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Community College System,Houston,TX,3842,2303482,600,NA,3636,NA,3636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami University - Middletown,Middletown,OH,NA,NA,NA,NA,309,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami University--Oxford,Oxford,OH,NA,NA,NA,0.06,NA,NA,NA,37379,NA,NA,NA,NA,NA,107,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16522,NA,NA,NA
Miami-Dade College,Miami,FL,12645,453579,36,NA,974,NA,974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota State University - Mankato,Mankato,MN,NA,NA,NA,NA,1121,NA,1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New England Conservatory of Music,Boston,MA,13943,673184,48,NA,317,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Institute of Technology - Old Westbury,Old Westbury,NY,NA,NA,NA,NA,1336,NA,1336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern University - Boston,Boston,MA,13943,673184,48,NA,15880,NA,15880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern University - Seattle,Seattle,WA,8391,704352,84,NA,968,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio State University - Columbus,Columbus,OH,3960,860090,217,NA,6865,NA,6865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ottawa University - Kansas City,Overland Park,KS,2525,188966,75,NA,199,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania State University - Penn State Abington,Abington,PA,NA,NA,NA,NA,367,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania State University - Penn State Harrisburg,Middletown,PA,NA,NA,NA,NA,654,NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peralta Community College District,Oakland,CA,7528,420005,56,NA,602,NA,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perimeter College of Georgia State University,Clarkston,GA,NA,NA,NA,NA,589,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pratt Institute,Brooklyn,NY,NA,NA,NA,NA,2126,NA,2126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rutgers University--New Brunswick,Piscataway,NJ,NA,NA,NA,0.09,NA,NA,NA,33005,NA,NA,NA,NA,NA,65,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35844,NA,NA,NA
San Mateo County Community College District,San Mateo,CA,8570,103959,12,NA,694,NA,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Arkansas University - Magnolia,Magnolia,AR,NA,NA,NA,NA,807,NA,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Cloud State University - St. Cloud,Saint Cloud,MN,NA,NA,NA,NA,1383,NA,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Francis College,Brooklyn Heights,NY,NA,NA,NA,NA,266,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. John's College (MD),Annapolis,MD,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. John's College (NM),Santa Fe,NM,1824,83875,46,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lawrence University,Canton,NY,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Olaf College,Northfield,MN,NA,NA,NA,0.1,327,NA,327,NA,highly competitive plus,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUNY Fashion Institute of Technology,New York,NY,28211,8537673,303,NA,841,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The University of Texas Health Science Center - Houston,Houston,TX,3842,2303482,600,NA,660,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tufts University-  Boston Health Sciences Campus,Boston,MA,13943,673184,48,NA,326,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of California - San Francisco,San Francisco,CA,18581,870887,47,NA,179,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of California, Merced",Merced,CA,3542,82594,23,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Colorado/Anschutz Medical Campus,Aurora,CO,2338,361710,155,NA,169,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Illinois - Springfield,Springfield,IL,1945,115715,59,NA,733,NA,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Maine--Machias,Machias,ME,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Massachusetts Medical School,Worcester,MA,4937,184508,37,NA,134,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Michigan - Dearborn,Dearborn,MI,3899,94444,24,NA,1101,NA,1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of St. Thomas (TX),Houston,TX,3842,2303482,600,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Texas - Arlington,Arlington,TX,4096,392772,96,NA,5065,NA,5065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Tech,Blacksburg,VA,NA,NA,NA,0.05,NA,NA,NA,33253,NA,NA,NA,NA,NA,78,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30020,NA,NA,NA
Wheaton College (MA),Norton,MA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
